,time_stamp,label,accuracy,confidence,file_name,reponse_time,explainability,contribution
0,1732715333.326488,n01494475,1,0.9289881587028503,n01494475_14819,0.09274110274342501,0,0.9289881587028503
1,1732715333.3324897,n01491361,1,0.7188204526901245,n01491361_10617,0.08244895470587807,0,0.7188204526901245
2,1732715333.3404882,n01440764,1,0.9985149502754211,n01440764_20299,0.09684895257642841,0,0.9985149502754211
3,1732715333.347497,n01443537,1,0.9921373724937439,n01443537_12810,0.08908344803254312,0,0.9921373724937439
4,1732715333.355496,n01494475,1,0.9943032264709473,n01494475_1397,0.09274965399079496,0,0.9943032264709473
5,1732715333.362496,n01494475,1,0.9660207033157349,n01494475_16178,0.0934181424136938,0,0.9660207033157349
6,1732715333.3700128,n01440764,1,0.8558334112167358,n01440764_6494,0.09676028831233328,0,0.8558334112167358
7,1732715333.3770134,n01494475,1,0.9807383418083191,n01494475_6995,0.0905905933377816,0,0.9807383418083191
8,1732715333.3870122,n01494475,0,0.0,n01494475_8069,0.0801443487425998,0,0.4399595260620117
9,1732715333.3950136,n01491361,1,0.6380412578582764,n01491361_9682,0.09099426988938025,0,0.6380412578582764
10,1732715333.403014,n01494475,1,0.9853578805923462,n01494475_21842,0.0910719434817013,0,0.9853578805923462
11,1732715333.4110126,n01443537,1,0.9928237199783325,n01443537_9444,0.10817783136694521,0,0.9928237199783325
12,1732715333.4180126,n01440764,1,0.8105660676956177,n01440764_7253,0.08761327230567983,0,0.8105660676956177
13,1732715333.4260128,n01443537,1,0.9983304142951965,n01443537_12286,0.10140391736442869,0,0.9983304142951965
14,1732715333.4340131,n01440764,1,0.9822375178337097,n01440764_14342,0.0883701768065686,0,0.9822375178337097
15,1732715333.4410121,n01494475,1,0.9854859113693237,n01494475_15056,0.08939468620859319,0,0.9854859113693237
16,1732715333.4490128,n01484850,1,0.8698768019676208,n01484850_8842,0.09492272303510683,0,0.8698768019676208
17,1732715333.4560213,n01494475,1,0.9306051731109619,n01494475_2866,0.07658590955806202,0,0.9306051731109619
18,1732715333.4640205,n01440764,1,0.9999353885650635,n01440764_30045,0.08509770440352926,0,0.9999353885650635
19,1732715333.4715395,n01491361,1,0.9388386607170105,n01491361_5323,0.09919915221779836,0,0.9388386607170105
20,1732715333.47954,n01494475,0,0.0,n01494475_26,0.08358476319387897,0,0.8081716299057007
21,1732715333.487541,n01440764,1,0.749723494052887,n01440764_9057,0.09127074188036098,0,0.749723494052887
22,1732715333.4955392,n01484850,0,0.0,n01484850_6527,0.08962986439087131,0,0.6040689945220947
23,1732715333.5045395,n01491361,0,0.0,n01491361_6662,0.04253280162811275,0,0.4284861087799072
