,time_stamp,label,accuracy,confidence,file_name,reponse_time
4600,1731876890.4920156,n01484850,1,0.8560599684715271,n01484850_17947,0.1618768545944103
4601,1731876890.5004175,n01484850,1,0.8539553880691528,n01484850_20486,0.1500845639276328
4602,1731876890.5076659,n01440764,1,0.9729076027870178,n01440764_5709,0.15528670889403942
4603,1731876890.514993,n01443537,1,0.999846339225769,n01443537_2945,0.15605357589694496
4604,1731876890.5223677,n01494475,1,0.41799235343933105,n01494475_3470,0.1515737671516851
4605,1731876890.5297284,n01491361,1,0.750754177570343,n01491361_11372,0.1649896938871367
4606,1731876890.5368435,n01491361,1,0.9845622181892395,n01491361_11011,0.13749934399281274
4607,1731876890.5440018,n01440764,1,0.9960542917251587,n01440764_12708,0.1496498318997813
4608,1731876890.5511239,n01491361,1,0.8725467920303345,ILSVRC2012_val_00025686_n01491361,0.1474415040265562
4609,1731876890.5579073,n01484850,1,0.8412931561470032,n01484850_2616,0.1564119195856608
4610,1731876890.5652475,n01440764,1,0.9993614554405212,n01440764_6974,0.15687654098369122
4611,1731876890.5725574,n01484850,1,0.5348926782608032,n01484850_14162,0.16266544949346334
4612,1731876890.5796347,n01440764,1,0.9997491240501404,n01440764_16051,0.14959098068266682
4613,1731876890.586733,n01484850,1,0.9961198568344116,n01484850_4019,0.15729028253311692
4614,1731876890.5940888,n01491361,1,0.9916770458221436,n01491361_485,0.16022687589409673
4615,1731876890.6008637,n01494475,1,0.9550960063934326,n01494475_14335,0.15209984481090957
4616,1731876890.6080306,n01484850,0,0.0,n01484850_8468,0.14077998581783097
4617,1731876890.6151562,n01440764,1,0.9865260720252991,n01440764_3509,0.1404912114171134
4618,1731876890.622494,n01491361,1,0.9960783123970032,n01491361_321,0.1469531130211237
4619,1731876890.6292226,n01494475,1,0.9286786913871765,n01494475_4523,0.15043411415361854
4620,1731876890.6364877,n01443537,1,0.9999908208847046,n01443537_16635,0.14789332116143783
4621,1731876890.6436198,n01443537,1,0.9999734163284302,n01443537_11018,0.1570359174944765
4622,1731876890.6507056,n01443537,1,0.9995269775390625,n01443537_12286,0.15311142029090596
4623,1731876890.6578574,n01491361,1,0.9658682346343994,n01491361_883,0.1477518887952483
4624,1731876890.6646724,n01443537,1,0.977754533290863,n01443537_4630,0.15317821139276894
4625,1731876890.6719565,n01443537,1,0.999390721321106,n01443537_16282,0.1516348224431873
4626,1731876890.6790125,n01443537,1,0.9999270439147949,n01443537_5989,0.1580056732450767
4627,1731876890.68633,n01491361,1,0.40907055139541626,n01491361_8042,0.14900799531102818
4628,1731876890.6939933,n01443537,1,0.9999865293502808,n01443537_2060,0.1465970544325393
4629,1731876890.7017703,n01484850,1,0.9443249106407166,n01484850_3831,0.15496127415827818
4630,1731876890.7096143,n01494475,1,0.9967402815818787,n01494475_5714,0.15752396118235945
4631,1731876890.7175314,n01440764,0,0.0,n01440764_26006,0.15118869463992846
4632,1731876890.7249382,n01440764,1,0.9979021549224854,n01440764_7913,0.15286162910647172
4633,1731876890.7324321,n01494475,1,0.9848877191543579,n01494475_7425,0.14217277417765511
4634,1731876890.739717,n01440764,1,0.63531094789505,n01440764_14893,0.14573537868756953
4635,1731876890.746769,n01494475,1,0.9992469549179077,n01494475_4719,0.14383061951166098
4636,1731876890.7540636,n01443537,1,0.9999576807022095,n01443537_17575,0.16018153759346457
4637,1731876890.7611675,n01491361,1,0.9942905902862549,n01491361_7284,0.14737498670790247
4638,1731876890.768525,n01494475,1,0.9830703139305115,n01494475_7555,0.1576739018598586
4639,1731876890.7757943,n01440764,1,0.9513470530509949,n01440764_13989,0.15391640719539243
4640,1731876890.7828767,n01494475,0,0.0,n01494475_172,0.14586960794846598
4641,1731876890.7895696,n01494475,1,0.9595212936401367,n01494475_876,0.1598809891247778
4642,1731876890.7963457,n01491361,1,0.9116045832633972,n01491361_3299,0.1495570665518944
4643,1731876890.8037438,n01484850,1,0.4881112575531006,n01484850_27312,0.15239216513092757
4644,1731876890.8108716,n01484850,1,0.8305579423904419,n01484850_16076,0.15408591682478348
4645,1731876890.817992,n01440764,1,0.6750696301460266,n01440764_32263,0.16163467212325128
4646,1731876890.8251677,n01491361,1,0.9960840940475464,n01491361_5010,0.15872461836864976
4647,1731876890.8323162,n01494475,1,0.9702879786491394,n01494475_15056,0.14798292409854666
4648,1731876890.8394084,n01440764,1,0.9909297823905945,n01440764_5490,0.15609688778551567
4649,1731876890.8466444,n01443537,1,0.9990379810333252,n01443537_22476,0.14506793464904721
