,time_stamp,label,accuracy,confidence,file_name,reponse_time
0,1731876852.9753401,n01443537,1,0.6212654113769531,n01443537_2249,1.2085298133758011
1,1731876852.9815714,n01494475,1,0.7488920092582703,n01494475_8094,1.2102647336614398
2,1731876852.9892578,n01484850,0,0.0,n01484850_8611,1.2092424642128932
3,1731876852.9963944,n01491361,0,0.0,n01491361_2474,1.2086986922563847
4,1731876853.0034366,n01443537,0,0.0,n01443537_9438,1.211190876141768
5,1731876853.0106971,n01491361,0,0.0,n01491361_3745,1.2090626962667177
6,1731876853.01771,n01491361,1,0.8177281618118286,n01491361_13404,1.212230352724207
7,1731876853.0247955,n01443537,0,0.0,n01443537_13343,1.2114251149781181
8,1731876853.0317514,n01443537,1,0.5240434408187866,n01443537_21899,1.2089813529230282
9,1731876853.0386906,n01491361,0,0.0,n01491361_7360,1.2080109645964707
10,1731876853.0457475,n01440764,0,0.0,n01440764_25148,1.208191727318292
11,1731876853.052751,n01440764,0,0.0,n01440764_3781,1.2113276076219446
12,1731876853.0599113,n01494475,1,0.506281852722168,n01494475_17379,1.2093639255925142
13,1731876853.0669084,n01484850,0,0.0,n01484850_2265,1.2088547298218173
14,1731876853.073918,n01443537,1,0.82112056016922,n01443537_3387,1.210056636288828
15,1731876853.0811372,n01440764,0,0.0,n01440764_7548,1.207579829162238
16,1731876853.0883088,n01440764,0,0.0,n01440764_6341,1.2105806318453778
17,1731876853.0954692,n01443537,1,0.3642614185810089,n01443537_5184,1.204372590698681
18,1731876853.1027198,n01443537,0,0.0,n01443537_13475,1.2095175385953354
19,1731876853.1097429,n01484850,1,0.5010162591934204,n01484850_7596,1.2086656097172321
20,1731876853.1170194,n01491361,0,0.0,n01491361_11555,1.208617869785946
21,1731876853.123979,n01484850,1,0.5451963543891907,n01484850_1823,1.2088974996465935
22,1731876853.1311884,n01440764,0,0.0,n01440764_853,1.2089221021266368
23,1731876853.1378696,n01484850,1,0.7895132303237915,n01484850_25786,1.2096372397606978
24,1731876853.1449168,n01484850,1,0.7251666784286499,n01484850_20170,1.2069960577573586
25,1731876853.1520221,n01484850,1,0.6766449213027954,n01484850_95,1.2069945303947487
26,1731876853.158641,n01440764,0,0.0,n01440764_6843,1.2089392690022425
27,1731876853.1658866,n01484850,1,0.776928722858429,n01484850_27991,1.2072525522660469
28,1731876853.172899,n01484850,1,0.48756951093673706,n01484850_146,1.2084968775513925
29,1731876853.179692,n01494475,1,0.8084048628807068,n01494475_12377,1.2118242148900755
30,1731876853.1866534,n01440764,1,0.5819786787033081,n01440764_24828,1.2091194798055267
31,1731876853.1936765,n01494475,1,0.7149920463562012,n01494475_8061,1.2082200395119511
32,1731876853.2008975,n01491361,0,0.0,n01491361_6688,1.2095363988688463
33,1731876853.2072904,n01484850,0,0.0,n01484850_27855,1.2091271005496327
34,1731876853.214159,n01440764,1,0.7830238342285156,n01440764_11151,1.2094930004842088
35,1731876853.2211936,n01484850,1,0.7432621121406555,n01484850_17959,1.2085059398671423
36,1731876853.228174,n01484850,0,0.0,n01484850_9733,1.2120563021487698
37,1731876853.2353237,n01443537,0,0.0,n01443537_16595,1.2091018888887781
38,1731876853.2422824,n01494475,0,0.0,n01494475_4886,1.2073516952523167
39,1731876853.249402,n01440764,1,0.5439422130584717,n01440764_8622,1.2085444925631768
40,1731876853.2565129,n01494475,1,0.4247949719429016,n01494475_22475,1.209984148795689
41,1731876853.263525,n01494475,0,0.0,n01494475_5034,1.2103587321365676
42,1731876853.2705498,n01491361,0,0.0,n01491361_9219,1.2106532013665992
43,1731876853.2777038,n01440764,1,0.8435543179512024,n01440764_9898,1.2025144625439417
44,1731876853.2848785,n01491361,0,0.0,n01491361_7032,1.2085072260628094
45,1731876853.2919216,n01491361,1,0.5856069922447205,n01491361_7390,1.2109766277518985
46,1731876853.2989783,n01484850,0,0.0,n01484850_7286,1.2100497013566311
47,1731876853.306021,n01484850,1,0.3092913031578064,n01484850_17989,1.208258376605277
48,1731876853.3130052,n01440764,0,0.0,n01440764_3236,1.2097845119109512
49,1731876853.320067,n01494475,0,0.0,n01494475_17178,1.2096371903483083
50,1731876853.3269904,n01491361,1,0.4265633821487427,n01491361_1129,1.2087976443005968
51,1731876853.3341687,n01491361,1,0.49068766832351685,n01491361_3570,1.211564903944078
52,1731876853.3412888,n01443537,1,0.43856242299079895,n01443537_17296,1.2101455746529144
53,1731876853.3482082,n01440764,0,0.0,n01440764_1713,1.2099917740179489
54,1731876853.355325,n01494475,1,0.6433708071708679,n01494475_7965,1.2109093503095638
55,1731876853.362419,n01440764,0,0.0,ILSVRC2012_val_00041939_n01440764,1.2105489798132676
56,1731876853.3689659,n01484850,0,0.0,n01484850_13503,1.2090006623614022
57,1731876853.3758554,n01494475,1,0.7255355715751648,n01494475_2636,1.209425180057755
58,1731876853.3829346,n01494475,1,0.30507808923721313,n01494475_3395,1.2093036627493594
59,1731876853.3900824,n01491361,0,0.0,n01491361_8474,1.2067868507975459
60,1731876853.3971775,n01494475,0,0.0,n01494475_17041,1.2063108841162884
