,label,accuracy,confidence,response_time,contribution
241300,n01491361,1,0.8432072997093201,0.37910014434135025,0.8432072997093201
241301,n01491361,1,0.9070134162902832,0.37787969782135394,0.9070134162902832
241302,n01484850,0,0.0,0.3737580712587287,0.5853011012077332
241303,n01440764,1,0.9275795221328735,0.3747196361635074,0.9275795221328735
241304,n01484850,1,0.8882212042808533,0.37512987423958766,0.8882212042808533
241305,n01484850,1,0.9113722443580627,0.3742910557645619,0.9113722443580627
241306,n01443537,1,0.9106602668762207,0.37163614845244164,0.9106602668762207
241307,n01491361,1,0.9146151542663574,0.37746520840453485,0.9146151542663574
241308,n01496331,1,0.8876428008079529,0.3725928340486987,0.8876428008079529
241309,n01484850,1,0.9059746861457825,0.37010058336434914,0.9059746861457825
241310,n01440764,1,0.9232709407806396,0.3738609966903598,0.9232709407806396
241311,n01440764,1,0.9143316745758057,0.3754400495953087,0.9143316745758057
241312,n01440764,1,0.9130160808563232,0.37564382602961155,0.9130160808563232
241313,n01496331,1,0.8450211882591248,0.3756671381837598,0.8450211882591248
241314,n01491361,1,0.9050911068916321,0.3917736810602866,0.9050911068916321
241315,n01440764,1,0.9167034029960632,0.3722904992621532,0.9167034029960632
241316,n01491361,1,0.47314774990081787,0.37406971835669245,0.47314774990081787
241317,n01491361,1,0.9090580940246582,0.3742027209437859,0.9090580940246582
241318,n01496331,1,0.9417636394500732,0.37324839529087844,0.9417636394500732
241319,n01440764,1,0.9218548536300659,0.37495766000604047,0.9218548536300659
241320,n01440764,1,0.5155636668205261,0.37659086895840593,0.5155636668205261
241321,n01440764,1,0.9320768713951111,0.3756195171684436,0.9320768713951111
241322,n01440764,1,0.9088088274002075,0.37421958034918956,0.9088088274002075
241323,n01440764,1,0.894898533821106,0.3730674314449487,0.894898533821106
241324,n01440764,1,0.9400580525398254,0.37415565310284854,0.9400580525398254
241325,n01491361,1,0.7110192775726318,0.37307255091408775,0.7110192775726318
241326,n01496331,1,0.8817416429519653,0.3735100196834413,0.8817416429519653
241327,n01440764,1,0.9163227677345276,0.37854836283473775,0.9163227677345276
241328,n01440764,1,0.8994157910346985,0.36531311665962374,0.8994157910346985
241329,n01491361,0,0.0,0.3760969838061448,0.0
241330,n01491361,1,0.874793291091919,0.37578775961700844,0.874793291091919
241331,n01440764,1,0.9255136847496033,0.3770998662821818,0.9255136847496033
241332,n01440764,1,0.9108042120933533,0.37328663022841707,0.9108042120933533
241333,n01496331,0,0.0,0.37671243723766656,0.7128829956054688
241334,n01440764,1,0.9309462904930115,0.37313118940869033,0.9309462904930115
241335,n01491361,0,0.0,0.3769361473831888,0.0
241336,n01491361,1,0.8973479866981506,0.37475828570179154,0.8973479866981506
241337,n01484850,1,0.8943690061569214,0.3719163222074466,0.8943690061569214
241338,n01491361,1,0.7962209582328796,0.37377083078404905,0.7962209582328796
241339,n01491361,1,0.39039722084999084,0.3762212883131276,0.39039722084999084
241340,n01491361,1,0.7694715261459351,0.37486624731398455,0.7694715261459351
241341,n01440764,1,0.913907527923584,0.37855800639568465,0.913907527923584
241342,n01491361,1,0.8328636288642883,0.37541457374680726,0.8328636288642883
241343,n01440764,1,0.7414473295211792,0.3735882222570335,0.7414473295211792
241344,n01484850,1,0.8602839112281799,0.3747388576931999,0.8602839112281799
241345,n01484850,1,0.8854708075523376,0.3755391802061251,0.8854708075523376
241346,n01440764,1,0.9185277223587036,0.37303093929962516,0.9185277223587036
241347,n01440764,1,0.9191004633903503,0.3721308294444461,0.9191004633903503
241348,n01484850,1,0.9117529988288879,0.37453849137153106,0.9117529988288879
241349,n01491361,1,0.8507441878318787,0.3770337801512201,0.8507441878318787
241350,n01484850,1,0.9083163142204285,0.3743753912121785,0.9083163142204285
241351,n01496331,1,0.8721352219581604,0.37307207630128847,0.8721352219581604
241352,n01440764,1,0.9387850761413574,0.37688554954471043,0.9387850761413574
241353,n01491361,0,0.0,0.37848843419272477,0.8022660613059998
241354,n01440764,1,0.9260307550430298,0.37542503855324044,0.9260307550430298
241355,n01440764,1,0.9371616244316101,0.3747510634201269,0.9371616244316101
241356,n01440764,1,0.9164265990257263,0.3765968461336238,0.9164265990257263
241357,n01440764,1,0.855150580406189,0.370695778901154,0.855150580406189
241358,n01491361,1,0.9069644808769226,0.37236611405578,0.9069644808769226
241359,n01491361,1,0.8967268466949463,0.373279669979364,0.8967268466949463
241360,n01491361,1,0.8825972676277161,0.375595106293509,0.8825972676277161
241361,n01440764,1,0.9489604234695435,0.375959356841014,0.9489604234695435
241362,n01491361,1,0.9162176847457886,0.37388084541710953,0.9162176847457886
241363,n01496331,1,0.7861916422843933,0.37421577114454857,0.7861916422843933
241364,n01491361,1,0.8909239172935486,0.3755344289942614,0.8909239172935486
241365,n01484850,1,0.903602659702301,0.37615604841333855,0.903602659702301
241366,n01440764,1,0.9081990718841553,0.37640072462890584,0.9081990718841553
241367,n01443537,1,0.8867366909980774,0.37512724451810314,0.8867366909980774
241368,n01440764,1,0.9225682020187378,0.3716494534906116,0.9225682020187378
241369,n01440764,1,0.9152543544769287,0.37317708230064034,0.9152543544769287
241370,n01484850,1,0.8863162994384766,0.37229176404459535,0.8863162994384766
241371,n01484850,1,0.928813636302948,0.37672376567340704,0.928813636302948
241372,n01484850,1,0.9035119414329529,0.37262565152467186,0.9035119414329529
241373,n01440764,1,0.8824548721313477,0.3729472329258047,0.8824548721313477
241374,n01484850,1,0.6900434494018555,0.3761054452045306,0.6900434494018555
241375,n01491361,1,0.8821137547492981,0.3774008520117954,0.8821137547492981
