label,accuracy,confidence,response_time,contribution
n01494475,0,0.0,0.12019793911733288,0.8506753444671631
n01440764,1,0.9996144771575928,0.10981175979746942,0.9996144771575928
n01491361,1,0.4098730981349945,0.10776580533353101,0.4098730981349945
n01440764,1,0.999997615814209,0.11725301417220822,0.999997615814209
n01491361,0,0.0,0.12204617245624276,0.0
n01484850,0,0.0,0.11548248014861774,0.0
n01484850,1,0.8960141539573669,0.11904477172193029,0.8960141539573669
n01494475,1,0.9999762773513794,0.11395186693350542,0.9999762773513794
n01440764,0,0.0,0.1120271299856179,0.0
n01440764,1,0.9994105100631714,0.11099059848779666,0.9994105100631714
n01443537,1,0.9999927282333374,0.11941764625172109,0.9999927282333374
n01494475,1,0.9997627139091492,0.13896387742475733,0.9997627139091492
n01440764,1,0.9999856948852539,0.10840269835867122,0.9999856948852539
n01440764,1,0.8665562868118286,0.11678819852186928,0.8665562868118286
n01440764,1,1.0,0.11089782086420867,1.0
n01491361,1,0.9748450517654419,0.10992816000129292,0.9748450517654419
n01494475,1,0.99913090467453,0.1168488307026335,0.99913090467453
n01484850,0,0.0,0.1243477860041774,0.7743405103683472
n01484850,0,0.0,0.11389106084480612,0.0
n01443537,1,0.35871630907058716,0.11074740664466716,0.35871630907058716
n01491361,1,0.31443727016448975,0.1188732334415536,0.31443727016448975
n01484850,0,0.0,0.12108410902047458,0.0
n01440764,0,0.0,0.11930400405383497,0.40544530749320984
n01491361,1,0.9757049679756165,0.12898445449200616,0.9757049679756165
n01440764,1,0.9999738931655884,0.11349314337971844,0.9999738931655884
n01443537,1,0.5034829378128052,0.12294054193155832,0.5034829378128052
n01491361,0,0.0,0.12335346871689702,0.0
n01494475,1,0.9999997615814209,0.12700205101542986,0.9999997615814209
n01443537,1,0.9999995231628418,0.10965345217375984,0.9999995231628418
n01443537,1,1.0,0.12459248253798795,1.0
n01484850,1,0.9732649922370911,0.1133737518294135,0.9732649922370911
n01440764,0,0.0,0.12305855035596287,0.0
n01491361,0,0.0,0.10670838099353126,0.9994691014289856
n01484850,1,0.6226035952568054,0.11393727622652844,0.6226035952568054
n01484850,0,0.0,0.12436332216572177,0.7071651220321655
n01484850,0,0.0,0.11553701411689994,0.9699720144271851
n01491361,1,0.881837785243988,0.12049099093377018,0.881837785243988
n01443537,1,0.9710482358932495,0.10623276558488982,0.9710482358932495
n01494475,1,0.9998818635940552,0.10372249984855209,0.9998818635940552
n01494475,0,0.0,0.11389066547592881,0.9024808406829834
n01440764,0,0.0,0.12119626456826942,0.0
n01494475,1,0.9998587369918823,0.12195749614254182,0.9998587369918823
n01484850,0,0.0,0.11625322229821038,0.831282913684845
n01440764,1,0.996505618095398,0.1128240171756332,0.996505618095398
n01443537,1,0.9999861717224121,0.11899076760004078,0.9999861717224121
n01484850,1,0.9999666213989258,0.12328943820475341,0.9999666213989258
n01494475,0,0.0,0.10240804378759479,0.0
n01491361,1,0.3015671968460083,0.11605567291480236,0.3015671968460083
n01440764,1,0.9999996423721313,0.12436327082483307,0.9999996423721313
n01491361,0,0.0,0.11158084353996793,0.7889658212661743
n01494475,1,0.6058772206306458,0.1289172421775427,0.6058772206306458
n01491361,0,0.0,0.12223511223502331,0.0
n01484850,1,0.769155740737915,0.11357825471421958,0.769155740737915
n01494475,0,0.0,0.11836583893214694,0.0
n01440764,1,0.8607412576675415,0.10609951186877409,0.8607412576675415
n01484850,1,0.9632930159568787,0.10695751119946821,0.9632930159568787
n01440764,1,0.9987528324127197,0.11517478789623221,0.9987528324127197
n01491361,1,0.9977317452430725,0.11980994391487854,0.9977317452430725
n01440764,1,0.35057830810546875,0.11250171681727705,0.35057830810546875
n01443537,1,0.9999984502792358,0.12287575735620831,0.9999984502792358
n01443537,0,0.0,0.12105701940019264,0.696956217288971
n01440764,1,0.9433055520057678,0.11802456741301821,0.9433055520057678
n01494475,1,0.9999854564666748,0.11302656623076326,0.9999854564666748
n01440764,1,0.9999958276748657,0.11928399281522918,0.9999958276748657
n01494475,1,0.9834480285644531,0.11940002363526103,0.9834480285644531
n01484850,1,0.9905838966369629,0.11687482232824953,0.9905838966369629
n01494475,1,0.9402663707733154,0.11476468153410861,0.9402663707733154
n01484850,0,0.0,0.11876056111977809,0.9765681624412537
n01484850,0,0.0,0.12207351149149402,0.6881829500198364
n01494475,0,0.0,0.11649470030935201,0.0
n01494475,1,0.9984151124954224,0.11666001082546194,0.9984151124954224
n01484850,1,0.9545379877090454,0.12517576878014955,0.9545379877090454
n01443537,1,0.9566634893417358,0.11661046699738144,0.9566634893417358
n01494475,1,0.9985671043395996,0.1147408029209329,0.9985671043395996
n01494475,1,0.7275978326797485,0.12100813307478991,0.7275978326797485
n01440764,1,0.49698761105537415,0.11785301893842844,0.49698761105537415
n01494475,1,0.961013913154602,0.11104796121730956,0.961013913154602
n01494475,1,0.9970715045928955,0.12403037988933455,0.9970715045928955
n01484850,0,0.0,0.1225073381806446,0.0
n01494475,1,0.9998618364334106,0.10595219453408855,0.9998618364334106
n01440764,0,0.0,0.11212845985793463,0.0
n01494475,0,0.0,0.11949829393866028,0.7361379861831665
n01491361,1,0.8678188920021057,0.11389490935306407,0.8678188920021057
n01494475,1,0.9957345128059387,0.12686049506112412,0.9957345128059387
n01440764,1,0.800957977771759,0.11748470951723276,0.800957977771759
n01491361,1,0.9281691312789917,0.11937200131836466,0.9281691312789917
n01491361,0,0.0,0.10698165621925254,0.0
n01484850,0,0.0,0.12156185017315915,0.0
n01491361,1,0.9906021356582642,0.1166985230880515,0.9906021356582642
n01440764,1,0.9954458475112915,0.11296303765939035,0.9954458475112915
n01443537,1,0.9999796152114868,0.18295536049111757,0.9999796152114868
n01440764,0,0.0,0.11519216820937203,0.0
n01491361,1,0.9181314706802368,0.09976588615129814,0.9181314706802368
n01440764,1,0.9999953508377075,0.12439351640194565,0.9999953508377075
n01494475,0,0.0,0.11894132935955688,0.0
n01491361,0,0.0,0.12169534159792796,0.93067467212677
n01443537,1,0.8620619177818298,0.11297824074845464,0.8620619177818298
n01443537,1,0.999998927116394,0.11786565288421066,0.999998927116394
n01484850,0,0.0,0.1162733607568376,0.8383834362030029
n01443537,1,0.8325750231742859,0.12340875712572971,0.8325750231742859
n01491361,0,0.0,0.11347713344846198,0.0
n01494475,0,0.0,0.11727120782371346,0.5416598916053772
n01443537,1,0.9999657869338989,0.12456621578359324,0.9999657869338989
n01491361,0,0.0,0.12185405135682277,0.0
n01491361,0,0.0,0.11045924304464769,0.0
n01494475,1,0.7014914751052856,0.12286998787290428,0.7014914751052856
n01494475,1,0.999977707862854,0.12675471599950636,0.999977707862854
n01484850,1,0.6462323665618896,0.12541472369876278,0.0
n01440764,1,0.9985048770904541,0.13669098189278045,0.9985048770904541
n01491361,1,0.9978944659233093,0.1135593839946828,0.9978944659233093
n01440764,0,0.0,0.10998134994821866,0.7420072555541992
n01494475,1,0.9984002709388733,0.116122747291852,0.9984002709388733
n01440764,1,0.9999979734420776,0.11090984644174279,0.9999979734420776
n01491361,1,0.6025739908218384,0.1699323182978263,0.6025739908218384
n01491361,0,0.0,0.11469190175195755,0.9299212694168091
n01484850,0,0.0,0.11705094725646294,0.8523966073989868
n01443537,1,0.9997252821922302,0.135573231514445,0.9997252821922302
n01494475,1,0.9997642636299133,0.1122610127317765,0.9997642636299133
n01440764,0,0.0,0.13011934866435415,0.0
n01484850,1,0.7187512516975403,0.10945101558028462,0.7187512516975403
n01494475,1,0.9965429902076721,0.12365788093627889,0.9965429902076721
n01443537,0,0.0,0.12117980114065581,0.0
n01491361,0,0.0,0.1178733442005546,0.8318421244621277
n01443537,1,1.0,0.12144779984696352,1.0
n01494475,1,0.9998281002044678,0.12378705858334162,0.9998281002044678
n01443537,1,0.9968166947364807,0.12855289230015096,0.0
n01484850,0,0.0,0.11727178739363298,0.6212198734283447
n01491361,1,0.955913782119751,0.12130353552499576,0.955913782119751
n01494475,0,0.0,0.11857371086874274,0.0
n01494475,1,0.44869545102119446,0.11949605842000215,0.44869545102119446
n01491361,0,0.0,0.11283254023404919,0.0
n01491361,1,0.7289735078811646,0.12413992143529134,0.7289735078811646
n01440764,1,0.8007057905197144,0.1179109487049562,0.8007057905197144
n01484850,1,0.9962148070335388,0.10443134511502875,0.9962148070335388
n01494475,1,0.9961723685264587,0.12856233326287717,0.9961723685264587
n01484850,1,0.995155930519104,0.11978244155512924,0.995155930519104
