label,accuracy,confidence,response_time,contribution
n01440764,1,0.9820992946624756,0.5702152360073784,0.9820992946624756
n01494475,1,0.9193064570426941,0.5950961991364345,0.9193064570426941
n01494475,1,0.9424596428871155,0.5596810051378028,0.9424596428871155
n01494475,1,0.9799498915672302,0.60778798259346,0.9799498915672302
n01494475,1,0.9134926199913025,0.5421323244465815,0.9134926199913025
n01494475,1,0.9826053380966187,0.5643420576558664,0.9826053380966187
n01440764,1,0.8556027412414551,0.5809557470094026,0.8556027412414551
n01491361,1,0.9639168977737427,0.6148539225101565,0.9639168977737427
n01443537,1,0.992484986782074,0.5635015708171615,0.992484986782074
n01443537,1,0.9994580149650574,0.5913971504736196,0.9994580149650574
