label,accuracy,confidence,response_time,contribution
n01491361,1,0.5520796775817871,0.2613716579276466,0.5520796775817871
n01484850,1,0.47129055857658386,0.1786782244735034,0.47129055857658386
n01484850,1,0.6937565207481384,0.19516970654179805,0.6937565207481384
n01494475,1,0.8927556276321411,0.20056922872657068,0.8927556276321411
n01440764,1,0.41006869077682495,0.19370692025231498,0.41006869077682495
n01440764,1,0.6084122061729431,0.17468988870457758,0.6084122061729431
n01443537,1,0.8994974493980408,0.1878816180574368,0.8994974493980408
n01494475,1,0.5054122805595398,0.18692360000406053,0.5054122805595398
n01440764,1,0.9468573331832886,0.19569195511190868,0.9468573331832886
n01494475,1,0.9215110540390015,0.1879515702367228,0.9215110540390015
n01484850,1,0.3902116119861603,0.18026315018103647,0.0
n01484850,0,0.0,0.16614121617695027,0.0
n01443537,1,0.37017062306404114,0.1974367411245855,0.37017062306404114
n01491361,1,0.8890213370323181,0.18128184065970404,0.8890213370323181
n01494475,1,0.9857876300811768,0.20555094719083608,0.9857876300811768
n01443537,1,0.9092841148376465,0.18919793484273734,0.9092841148376465
n01443537,1,0.9658153057098389,0.18068609424088844,0.9658153057098389
n01484850,1,0.7530906796455383,0.20008333179397328,0.7530906796455383
n01440764,1,0.5137523412704468,0.20577185616849575,0.5137523412704468
n01491361,0,0.0,0.17961681793572815,0.6339835524559021
n01484850,1,0.35264578461647034,0.1938543093029531,0.35264578461647034
n01484850,0,0.0,0.18324685864105597,0.894997239112854
n01484850,0,0.0,0.18741368198110003,0.7014913558959961
n01491361,0,0.0,0.19384462305029398,0.0
n01443537,1,0.8111735582351685,0.18187949898743294,0.8111735582351685
n01494475,1,0.8847324252128601,0.1784002888009943,0.8847324252128601
n01494475,0,0.0,0.18338510522050183,0.0
n01440764,1,0.8003487586975098,0.1881260682148595,0.8003487586975098
n01494475,1,0.8763732314109802,0.17487055106154858,0.8763732314109802
n01484850,0,0.0,0.1827745372483435,0.6664027571678162
n01440764,1,0.7259640097618103,0.20040869532997727,0.7259640097618103
n01443537,1,0.3137596547603607,0.17964584499939532,0.3137596547603607
n01484850,1,0.9066662788391113,0.3103923434128633,0.9066662788391113
n01494475,0,0.0,0.17877663394440077,0.0
n01491361,1,0.6833677291870117,0.1922022767538955,0.6833677291870117
n01440764,1,0.9593035578727722,0.19456393662141816,0.9593035578727722
n01491361,0,0.0,0.1869094464294962,0.0
n01494475,1,0.8748036026954651,0.18040092246952236,0.8748036026954651
n01491361,1,0.7181429862976074,0.15204388979863262,0.7181429862976074
n01484850,1,0.8773491382598877,0.1920323629429213,0.8773491382598877
n01494475,0,0.0,0.2013123463184447,0.0
n01440764,1,0.33903855085372925,0.19977761076354245,0.33903855085372925
n01484850,1,0.618342936038971,0.210173586615199,0.618342936038971
n01440764,1,0.8746449947357178,0.20141692767246053,0.8746449947357178
n01491361,1,0.865106463432312,0.18775383198464762,0.865106463432312
n01440764,1,0.9446086883544922,0.1990098969730244,0.9446086883544922
n01443537,1,0.6077243685722351,0.1834232252416019,0.6077243685722351
n01440764,1,0.9542050957679749,0.1818641208856858,0.9542050957679749
n01494475,0,0.0,0.18205588075057058,0.0
n01484850,1,0.7525713443756104,0.17889438254669654,0.7525713443756104
n01494475,1,0.7162604928016663,0.1880547799421441,0.7162604928016663
n01484850,1,0.35147595405578613,0.17568314455885148,0.0
n01484850,1,0.6078030467033386,0.18879134411807358,0.0
n01494475,1,0.9354047775268555,0.18775238501734687,0.9354047775268555
