label,accuracy,confidence,response_time,contribution
n01484850,1,0.715052604675293,0.9194595109152154,0.715052604675293
n01443537,0,0.0,1.0084860322177256,0.0
n01491361,1,0.5801323056221008,1.0031715407328456,0.5801323056221008
n01491361,0,0.0,0.9908956422565602,0.6706450581550598
n01443537,1,0.9710753560066223,0.9914040674056748,0.9710753560066223
n01484850,1,0.9587876796722412,0.9864124989348227,0.9587876796722412
n01494475,1,0.9569540023803711,0.9889980501236799,0.9569540023803711
n01440764,1,0.8941053152084351,0.9751581826731037,0.8941053152084351
n01491361,1,0.8955701589584351,0.9994055192115684,0.8955701589584351
n01494475,1,0.9673343300819397,1.004108783467221,0.9673343300819397
n01491361,0,0.0,0.9724970617695539,0.0
n01440764,1,0.8846192359924316,1.0291758179705475,0.8846192359924316
n01440764,1,0.9694646596908569,0.9786553062398957,0.9694646596908569
n01491361,1,0.8946433067321777,1.0078435369741385,0.8946433067321777
n01491361,1,0.837870180606842,0.9778039775636483,0.837870180606842
n01443537,1,0.5868113040924072,1.002601533856207,0.5868113040924072
n01494475,1,0.9801498055458069,1.005594952610355,0.9801498055458069
n01484850,1,0.9773781299591064,0.9984778333871858,0.9773781299591064
