label,accuracy,confidence,response_time,contribution
n01440764,1,0.9983022212982178,0.5977778733474861,0.9983022212982178
n01491361,1,0.44069424271583557,0.5623113967600071,0.44069424271583557
n01484850,1,0.9404345750808716,0.5997385659814959,0.9404345750808716
n01484850,1,0.9650812745094299,0.5653937598246683,0.9650812745094299
n01494475,1,0.998467743396759,0.5477317713004421,0.998467743396759
n01440764,1,0.971724808216095,0.5952845356733232,0.971724808216095
n01440764,1,0.9992227554321289,0.5717002814625043,0.9992227554321289
n01443537,1,0.9998339414596558,0.613924062730248,0.9998339414596558
n01494475,1,0.9866796135902405,0.5649281900336729,0.9866796135902405
n01440764,1,0.9820154905319214,0.5804925158369003,0.9820154905319214
n01440764,1,0.6905300617218018,0.5771129737987228,0.6905300617218018
n01440764,1,0.9985007047653198,0.5913282677043844,0.9985007047653198
n01491361,1,0.8869255781173706,0.5896213698930078,0.8869255781173706
n01494475,1,0.9794633388519287,0.5892251198418408,0.9794633388519287
n01484850,1,0.3108990490436554,0.5965801546610066,0.0
n01484850,1,0.7848347425460815,0.5576601614023299,0.7848347425460815
n01443537,0,0.0,0.5736591733351877,0.0
n01491361,1,0.9657822847366333,0.5790357967837345,0.9657822847366333
n01484850,0,0.0,0.5725981648116191,0.9065731167793274
n01440764,0,0.0,0.5827863036163051,0.0
n01491361,1,0.9812682271003723,0.6015079334427845,0.9812682271003723
n01440764,1,0.997686505317688,0.5951918096500257,0.997686505317688
n01443537,1,0.9854705333709717,0.6075473626055579,0.9854705333709717
n01491361,1,0.5382674336433411,0.5521769492821617,0.0
n01494475,1,0.9999722242355347,0.5820916466448917,0.9999722242355347
n01443537,1,0.9990260601043701,0.6005398030479809,0.9990260601043701
n01443537,1,0.9997889399528503,0.607403373606472,0.9997889399528503
n01484850,1,0.9238525629043579,0.5566243770426199,0.9238525629043579
n01440764,1,0.9961601495742798,0.5806879115079627,0.9961601495742798
n01491361,0,0.0,0.6308815343187355,0.8053238987922668
n01484850,1,0.9087221026420593,0.5938146463171806,0.9087221026420593
n01484850,1,0.48794999718666077,0.5674848889081879,0.0
n01484850,0,0.0,0.5854828357134046,0.7455952167510986
n01440764,1,0.667908251285553,0.5670734818642399,0.667908251285553
n01443537,1,0.9928610920906067,0.5403243604075947,0.9928610920906067
